"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","143.02","142.36","143.20","142.14","","0.46%"
"04/29/2025","142.36","142.01","142.77","141.97","","0.25%"
"04/28/2025","142.01","143.74","143.94","141.99","","-1.18%"
"04/25/2025","143.70","142.68","144.05","142.55","","0.75%"
"04/24/2025","142.63","143.43","143.44","142.28","","-0.57%"
"04/23/2025","143.45","141.55","143.58","141.48","","1.31%"
"04/22/2025","141.59","140.87","141.68","139.88","","0.53%"
"04/21/2025","140.85","142.14","142.19","140.47","","-0.93%"
"04/18/2025","142.17","142.45","142.51","142.12","","-0.17%"
"04/17/2025","142.41","141.92","143.10","141.61","","0.42%"
"04/16/2025","141.82","143.26","143.32","141.64","","-0.98%"
"04/15/2025","143.23","143.00","143.61","142.60","","0.17%"
"04/14/2025","142.98","144.12","144.32","142.24","","-0.37%"
"04/11/2025","143.51","144.45","144.63","142.07","","-0.65%"
"04/10/2025","144.45","147.55","147.72","144.01","","-2.21%"
"04/09/2025","147.72","146.27","148.29","144.00","","0.98%"
"04/08/2025","146.28","147.83","148.13","145.96","","-1.06%"
"04/07/2025","147.84","147.06","148.15","144.82","","0.64%"
"04/04/2025","146.90","146.07","147.44","144.55","","0.58%"
"04/03/2025","146.06","149.26","149.28","145.19","","-2.13%"
"04/02/2025","149.24","149.58","150.49","149.10","","-0.25%"
"04/01/2025","149.61","149.96","150.15","148.96","","-0.23%"
"03/31/2025","149.95","149.80","150.28","148.70","","0.09%"
"03/28/2025","149.81","151.05","151.22","149.68","","-0.82%"
"03/27/2025","151.05","150.61","151.18","150.06","","0.31%"
"03/26/2025","150.58","149.91","150.78","149.83","","0.45%"
"03/25/2025","149.90","150.70","150.95","149.55","","-0.52%"
"03/24/2025","150.69","149.37","150.78","149.36","","0.92%"
"03/21/2025","149.31","148.76","149.68","148.58","","0.36%"
"03/20/2025","148.78","148.73","148.99","148.18","","0.07%"
"03/19/2025","148.68","149.27","150.16","148.61","","-0.39%"
"03/18/2025","149.26","149.23","149.95","149.08","","0.03%"
"03/17/2025","149.21","148.32","149.31","148.39","","0.40%"
"03/14/2025","148.62","147.82","149.04","147.76","","0.55%"
"03/13/2025","147.81","148.26","148.39","147.40","","-0.30%"
"03/12/2025","148.25","147.79","149.20","147.72","","0.32%"
"03/11/2025","147.77","147.27","148.14","146.54","","0.35%"
"03/10/2025","147.26","147.89","147.99","146.63","","-0.52%"
"03/07/2025","148.03","147.99","148.22","146.95","","0.05%"
"03/06/2025","147.95","148.89","149.35","147.31","","-0.62%"
"03/05/2025","148.88","149.81","150.20","148.39","","-0.61%"
